s,count
954,15
955,13
956,15
957,19
958,21
959,23
960,21
961,14
962,13
963,17
964,13
965,10
966,10
967,11
968,11
969,12
970,12
971,16
972,19
973,16
974,10
975,17
976,14
977,20
978,21
979,23
980,19
981,19
982,20
983,15
984,16
985,15
986,16
987,19
988,21
989,16
990,16
991,11
992,11
993,18
994,17
995,13
996,12
997,16
998,24
999,15
1000,21
1001,19
1002,15
1003,12
1004,14
1005,15
1006,15
1007,16
1008,18
1009,18
1010,20
1011,17
1012,16
1013,16
1014,16
1015,18
1016,28
1017,18
1018,14
1019,18
1020,27
1021,19
1022,16
1023,18
1024,17
1025,19
1026,19
1027,25
1028,24
1029,18
1030,16
1031,23
1032,23
1033,16
1034,14
1035,19
1036,22
1037,18
1038,20
1039,21
1040,21
1041,20
1042,18
1043,21
1044,26
1045,20
1046,17
1047,21
1048,13
1049,12
1050,10
1051,14
1052,24
1053,25
1054,22
1055,20
1056,17
1057,19
1058,21
1059,23
1060,23
1061,28
1062,21
1063,17
1064,11
1065,19
1066,14
1067,14
1068,18
1069,20
1070,21
1071,14
1072,17
1073,20
1074,15
1075,16
1076,16
1077,25
1078,25
1079,16
1080,20
1081,21
1082,21
1083,22
1084,16
1085,16
1086,14
1087,10
1088,14
1089,18
1090,13
1091,15
1092,13
1093,11
1094,17
1095,13
1096,10
1097,15
1098,15
1099,18
1100,14
1101,12
1102,17
1103,21
1104,20
1105,22
1106,19
1107,15
1108,15
1109,21
1110,18
1111,18
1112,20
1113,19
1114,14
1115,19
1116,23
1117,16
1118,21
1119,19
1120,19
1121,13
1122,17
1123,15
1124,19
1125,19
1126,19
1127,15
1128,17
1129,19
1130,26
1131,26
1132,23
1133,23
1134,10
1135,15
1136,20
1137,32
1138,16
1139,19
1140,16
1141,15
1142,16
1143,13
1144,16
1145,20
1146,16
1147,19
1148,17
1149,20
1150,15
1151,17
1152,17
1153,18
1154,13
1155,13
1156,12
1157,12
1158,16
1159,14
1160,13
1161,14
1162,17
1163,7
1164,7
1165,10
1166,15
1167,15
1168,13
1169,9
1170,10
1171,18
1172,17
1173,19
1174,23
1175,19
1176,22
1177,20
1178,19
1179,13
1180,10
1181,8
1182,16
1183,19
1184,19
1185,17
1186,11
1187,8
1188,13
1189,15
1190,12
1191,12
1192,13
1193,15
1194,15
1195,11
1196,10
1197,12
1198,14
1199,11
1200,14
1201,26
1202,27
1203,12
1204,11
1205,9
1206,9
1207,10
1208,15
1209,13
1210,12
1211,8
1212,8
1213,6
1214,7
1215,5
1216,15
1217,10
1218,8
1219,14
1220,13
1221,13
1222,10
1223,14
1224,11
1225,17
1226,13
1227,17
1228,14
1229,8
1230,10
1231,17
1232,16
1233,13
1234,15
1235,15
1236,13
1237,11
1238,11
1239,10
1240,14
1241,12
1242,12
1243,7
1244,11
1245,11
1246,8
1247,14
1248,10
1249,13
1250,11
1251,17
1252,23
1253,22
1254,15
1255,20
1256,30
1257,22
1258,18
1259,18
1260,24
1261,23
1262,17
1263,12
1264,24
1265,19
1266,19
1267,19
1268,15
1269,16
1270,13
1271,17
1272,25
1273,11
1274,15
1275,18
1276,16
1277,15
1278,14
1279,13
1280,9
1281,8
1282,9
1283,7
1284,11
1285,6
1286,7
1287,16
1288,14
1289,13
1290,18
1291,16
1292,17
1293,15
1294,16
1295,11
1296,5
1297,11
1298,5
1299,15
1300,13
1301,17
1302,10
1303,15
1304,12
1305,13
1306,12
1307,16
1308,8
1309,11
1310,16
1311,19
1312,19
1313,17
1314,12
1315,11
1316,10
1317,10
1318,6
1319,9
1320,6
1321,11
1322,12
1323,12
1324,9
1325,10
1326,12
1327,12
1328,9
1329,7
1330,7
1331,12
1332,13
1333,15
1334,8
1335,11
1336,8
1337,6
1338,9
1339,9
1340,10
1341,7
1342,8
1343,9
1344,15
1345,17
1346,11
1347,14
1348,10
1349,6
1350,9
1351,13
1352,15
1353,20
1354,16
1355,14
1356,14
1357,15
1358,14
1359,14
1360,13
1361,9
1362,5
1363,11
1364,11
1365,17
1366,11
1367,9
1368,8
1369,11
1370,9
1371,16
1372,15
1373,16
1374,8
1375,10
1376,14
1377,18
1378,18
1379,23
1380,18
1381,17
1382,11
1383,16
1384,11
1385,11
1386,7
1387,5
1388,5
1389,6
1390,7
1391,9
1392,10
1393,9
1394,12
1395,13
1396,12
1397,7
1398,8
1399,10
1400,18
1401,13
1402,14
1403,14
1404,13
1405,10
1406,12
1407,15
1408,14
1409,13
1410,13
1411,9
1412,9
1413,11
1414,13
1415,15
1416,16
1417,19
1418,21
1419,12
1420,7
1421,13
1422,14
1423,13
1424,17
1425,10
1426,11
1427,14
1428,11
1429,15
1430,15
1431,16
1432,21
1433,8
1434,13
1435,14
1436,11
1437,11
1438,6
1439,14
1440,9
1441,11
1442,8
1443,9
1444,8
1445,8
1446,12
1447,10
1448,8
1449,9
1450,12
1451,12
1452,11
1453,15
1454,14
1455,14
1456,12
1457,13
1458,12
1459,11
1460,8
1461,9
1462,10
1463,11
1464,7
1465,9
1466,12
1467,12
1468,10
1469,8
1470,7
1471,10
1472,11
1473,8
1474,5
1475,4
1476,4
1477,3
1478,5
1479,5
1480,7
1481,7
1482,8
1483,9
1484,15
1485,8
1486,9
1487,11
1488,9
1489,12
1490,11
1491,10
1492,7
1493,10
1494,11
1495,6
1496,7
1497,7
1498,1
1499,3
1500,5
1501,6
1502,14
1503,9
1504,11
1505,6
1506,7
1507,11
1508,14
1509,9
1510,9
1511,10
1512,13
1513,12
1514,13
1515,11
1516,11
1517,7
1518,6
1519,10
1520,18
1521,15
1522,12
1523,13
1524,18
1525,19
1526,17
1527,16
1528,14
1529,14
1530,9
1531,12
1532,13
1533,17
1534,11
1535,12
1536,12
1537,13
1538,17
1539,16
1540,8
1541,10
1542,9
1543,4
1544,8
1545,8
1546,6
1547,12
1548,12
1549,15
1550,13
1551,16
1552,13
1553,10
1554,8
1555,10
1556,10
1557,15
1558,14
1559,21
1560,12
1561,7
1562,10
1563,9
1564,9
1565,9
1566,5
1567,6
1568,8
1569,8
1570,8
1571,6
1572,10
1573,8
1574,13
1575,11
1576,8
1577,12
1578,12
1579,13
1580,9
1581,3
1582,3
1583,10
1584,12
1585,9
1586,9
1587,13
1588,10
1589,8
1590,12
1591,10
1592,11
1593,7
1594,5
1595,9
1596,6
1597,12
1598,13
1599,16
1600,18
1601,15
1602,10
1603,8
1604,9
1605,4
1606,5
1607,8
1608,10
1609,15
1610,6
1611,3
1612,5
1613,11
1614,11
1615,7
1616,11
1617,11
1618,12
1619,9
1620,5
1621,11
1622,12
1623,9
1624,9
1625,12
1626,15
1627,14
1628,7
1629,10
1630,9
1631,7
1632,10
1633,5
1634,8
1635,4
1636,7
1637,7
1638,18
1639,14
1640,14
1641,14
1642,13
1643,11
1644,9
1645,12
1646,10
1647,8
1648,8
1649,8
1650,7
1651,5
1652,6
1653,8
1654,10
1655,7
1656,4
1657,11
1658,9
1659,13
1660,11
1661,14
1662,9
1663,9
1664,8
1665,12
1666,8
1667,7
1668,7
1669,11
1670,10
1671,8
1672,7
1673,9
1674,11
1675,11
1676,10
1677,14
1678,13
1679,18
1680,10
1681,13
1682,14
1683,11
1684,12
1685,11
1686,11
1687,12
1688,11
1689,4
1690,8
1691,6
1692,10
1693,11
1694,12
1695,13
1696,10
1697,6
1698,6
1699,4
1700,8
1701,7
1702,9
1703,8
1704,9
1705,9
1706,11
1707,10
1708,9
1709,9
1710,10
1711,13
1712,17
1713,13
1714,10
1715,8
1716,4
1717,8
1718,15
1719,15
1720,11
1721,10
1722,12
1723,12
1724,7
1725,9
1726,10
1727,6
1728,6
1729,6
1730,10
1731,15
1732,11
1733,14
1734,11
1735,8
1736,7
1737,7
1738,9
1739,6
1740,8
1741,11
1742,6
1743,5
1744,7
1745,10
1746,11
1747,13
1748,14
1749,14
1750,12
1751,12
1752,7
1753,9
1754,10
1755,10
1756,12
1757,11
1758,7
1759,12
1760,3
1761,5
1762,8
1763,8
1764,8
1765,10
1766,10
1767,6
1768,10
1769,12
1770,11
1771,8
1772,6
1773,5
1774,9
1775,11
1776,12
1777,14
1778,8
1779,6
1780,5
1781,6
1782,13
1783,11
1784,12
1785,7
1786,13
1787,14
1788,15
1789,17
1790,18
1791,14
1792,11
1793,12
1794,19
1795,12
1796,11
1797,12
1798,11
1799,9
1800,9
1801,8
1802,12
1803,7
1804,8
1805,13
1806,14
1807,7
1808,9
1809,10
1810,4
1811,9
1812,6
1813,11
1814,8
1815,6
1816,8
1817,13
1818,7
1819,9
1820,7
1821,6
1822,10
1823,10
1824,12
1825,13
1826,9
1827,11
1828,6
1829,13
1830,10
1831,5
1832,10
1833,9
1834,10
1835,10
1836,7
1837,10
1838,12
1839,12
1840,7
1841,8
1842,10
1843,8
1844,7
1845,8
1846,4
1847,9
1848,4
1849,7
1850,10
1851,11
1852,11
1853,8
1854,7
1855,7
1856,10
1857,5
1858,6
1859,12
1860,11
1861,8
1862,12
1863,7
1864,12
1865,9
1866,7
1867,8
1868,9
1869,10
1870,5
1871,7
1872,6
1873,6
1874,10
1875,8
1876,6
1877,8
1878,9
1879,8
1880,11
1881,6
1882,10
1883,9
1884,8
1885,11
1886,13
1887,13
1888,11
1889,14
1890,13
1891,7
1892,9
1893,12
1894,8
1895,5
1896,9
1897,7
1898,11
1899,10
1900,14
1901,8
1902,10
1903,6
1904,10
1905,8
1906,8
1907,7
1908,7
1909,4
1910,9
1911,9
1912,12
1913,9
1914,9
1915,7
1916,10
1917,9
1918,9
1919,11
1920,8
1921,8
1922,6
1923,8
1924,5
1925,1
1926,3
1927,6
1928,6
1929,5
1930,3
1931,5
1932,6
1933,6
1934,6
1935,9
1936,5
1937,7
1938,5
1939,13
1940,10
1941,6
1942,7
1943,6
1944,9
1945,8
1946,7
1947,7
1948,8
1949,10
1950,9
1951,9
1952,8
1953,9
1954,8
1955,13
1956,11
1957,9
1958,6
1959,8
1960,11
1961,12
1962,8
1963,8
1964,10
1965,10
1966,10
1967,10
1968,8
1969,5
1970,6
1971,4
1972,11
1973,8
1974,12
1975,9
1976,9
1977,6
1978,7
1979,10
1980,8
1981,8
1982,11
1983,13
1984,12
1985,8
1986,7
1987,11
1988,8
1989,11
1990,8
1991,8
1992,8
1993,10
1994,8
1995,9
1996,8
1997,7
1998,9
1999,8
2000,9
2001,9
2002,5
2003,6
2004,9
2005,13
2006,10
2007,6
2008,5
2009,7
2010,10
2011,10
2012,12
2013,12
2014,14
2015,11
2016,8
2017,10
2018,9
2019,10
2020,13
2021,10
2022,9
2023,6
2024,6
2025,9
2026,7
2027,5
2028,3
2029,9
2030,8
